educationagencyname,averagetest,income50perc,ginico,percentmalesBA,percentfemalesBA,percentmalespov,percentfemalespov,percentnatam,percentasian,percenthispanic,percentblacks,percentwhites,totalenrollment
WOODSIDE ELEMENTARY,2.3928,228529.4,0.1616,0.704,0.6568,0.0255,0.0253,0.0005,0.0377,0.1081,0.0154,0.7562,304.3333
RIVERDALE SD 51J,1.8702,228400,0.152,0.8889,0.7677,0.0227,0.0154,0,0.0474,0.0128,0.017,0.8984,246.5
HILLSBOROUGH CITY ELEMENTARY,3.0342,226335.9,0.1699,0.7734,0.6503,0.0209,0.0361,0.0013,0.2907,0.0222,0.0018,0.6714,1047.167
SCARSDALE UNION FREE SCHOOL DISTRICT,2.3664,225838,0.1421,0.8734,0.8326,0.0061,0.0332,0,0.1484,0.0459,0.011,0.7457,2267.333
KENILWORTH SD 38,2.5344,225306.1,0.1688,0.9231,0.856,0.0084,0.0071,0,0.0266,0.0177,0,0.9181,376.1667
SADDLE RIVER,2.6637,224117.6,0.1777,0.7495,0.5367,0.0208,0.0069,0,0.0314,0.0287,0.0306,0.855,110
BUTLER SD 53,3.1074,222413.8,0.1612,0.6641,0.4358,0,0.0184,0,0.3448,0.0297,0.0183,0.547,277.1667
WINNETKA SD 36,2.4953,222094.6,0.1891,0.8897,0.8641,0.0134,0.0338,0.0011,0.0282,0.0175,0.0018,0.9311,1316.333
ROSS ELEMENTARY,1.9886,221428.6,0.1982,0.8603,0.7656,0.0547,0.0652,0,0.0303,0.0459,0.0047,0.918,243.6667
ORINDA UNION ELEMENTARY,2.6462,220877.2,0.148,0.8305,0.7167,0.0224,0.0208,0.0065,0.1392,0.0381,0.0168,0.5983,1679.5
SHERBORN,2.8914,220689.7,0.1654,0.8578,0.7364,0.0291,0.0301,0,0.0388,0.0132,0.0292,0.8772,229.3333
DOVER-SHERBORN,2.8955,219375,0.21,0.8228,0.7764,0.0256,0.0223,0.0009,0.0582,0.0115,0.0218,0.888,535.5
RYE CITY SCHOOL DISTRICT,2.6357,218469.4,0.1872,0.7493,0.6493,0.0114,0.0162,0.0013,0.0844,0.0554,0.011,0.839,1513
CHAPPAQUA CENTRAL SCHOOL DISTRICT,2.5112,218392.9,0.1736,0.82,0.7526,0.0141,0.0176,0.0009,0.0893,0.0338,0.0088,0.8328,1951.5
NEW CANAAN SCHOOL DISTRICT,2.7202,217060.8,0.2037,0.8404,0.6925,0.0166,0.0304,0.0046,0.0401,0.0287,0.0098,0.906,1908.5
BLIND BROOK-RYE UNION FREE SCHOOL DISTRICT,2.2268,216494.8,0.1596,0.688,0.6236,0.0208,0.0828,0,0.0584,0.0234,0.0041,0.9056,759.8333
ALPINE,2.7156,216153.8,0.2448,0.7442,0.6689,0.0153,0.0516,0,0.2014,0.0454,0.0081,0.7367,99.1667
LAKE FOREST SD 67,2.32,215986.4,0.2006,0.7824,0.7124,0.0156,0.0334,0.0011,0.0433,0.0196,0.0062,0.9065,1487
BRIARCLIFF MANOR UNION FREE SCHOOL DISTRICT,2.5583,215454.5,0.2184,0.8067,0.7,0.0108,0.082,0,0.0897,0.0314,0.0145,0.8625,736.3333
BANNOCKBURN SD 106,2.0992,215000,0.1579,0.7904,0.618,0.0195,0.0282,0.0014,0.1256,0.0028,0.0326,0.8309,118
HINSDALE CCSD 181,2.8464,214873.6,0.1863,0.8038,0.7016,0.0072,0.0239,0.0011,0.0642,0.0503,0.0114,0.8426,2797.667
FRANKLIN LAKES,2.4293,213297.9,0.1847,0.6876,0.6109,0.0131,0.016,0.0009,0.0749,0.0262,0.0156,0.8814,945.6667
PORTOLA VALLEY ELEMENTARY,2.0884,213137.3,0.1601,0.8874,0.7881,0.0239,0.0382,0.001,0.0638,0.0913,0.0153,0.773,468.6667
SARATOGA UNION ELEMENTARY,3.116,213071.9,0.2097,0.8551,0.7099,0.0583,0.0502,0.0014,0.5424,0.0334,0.0014,0.3526,1635.333
WESTON SCHOOL DISTRICT,2.3617,212426,0.1696,0.8618,0.7675,0.018,0.0209,0,0.0401,0.0232,0.0174,0.9065,1194.167
GLENCOE SD 35,2.6028,212376.2,0.2302,0.8669,0.81,0.0434,0.0425,0.0018,0.0285,0.0158,0.0043,0.9234,918.5
BRONXVILLE UNION FREE SCHOOL DISTRICT,2.4356,212352.9,0.1845,0.8666,0.8105,0.0261,0.0182,0,0.0617,0.0318,0.0044,0.8953,763.3333
MOUNTAIN LAKES,2.6881,212238.8,0.1908,0.8484,0.7898,0.0269,0.0153,0,0.1012,0.0159,0.0021,0.879,565.3333
PIEDMONT CITY UNIFIED,2.4,212111.8,0.2016,0.8586,0.7694,0.0187,0.0294,0.0024,0.1815,0.0362,0.0173,0.6981,1192.833
DARIEN SCHOOL DISTRICT,2.632,210909.1,0.2198,0.805,0.7095,0.0232,0.0517,0.0017,0.0332,0.0242,0.0053,0.9348,2281.667
WILTON SCHOOL DISTRICT,2.5292,210658.9,0.19,0.7477,0.6801,0.0076,0.0327,0.0006,0.0645,0.0206,0.0115,0.897,2065.667
DOVER,3.0403,210294.1,0.2157,0.7975,0.8088,0.0229,0.0167,0.0017,0.0772,0.019,0.0313,0.8497,292.3333
COLD SPRING HARBOR CENTRAL SCHOOL DISTRICT,1.6559,206818.2,0.2406,0.7756,0.6328,0.0236,0.0388,0.0012,0.0229,0.0157,0.0061,0.9523,956.8333
MENDHAM TOWNSHIP,3.3895,206363.6,0.1695,0.7743,0.6309,0.0033,0.0327,0.003,0.0556,0.0381,0.007,0.8907,611.3333
HIGHLAND PARK ISD,3.0119,205456.9,0.2494,0.8779,0.765,0.0269,0.076,0.0018,0.0372,0.0413,0.0033,0.9078,3133.833
LOS ALTOS ELEMENTARY,3.2176,205340.1,0.177,0.8063,0.6863,0.0316,0.0343,0.0009,0.279,0.0666,0.0043,0.5262,3251.333
MANHASSET UNION FREE SCHOOL DISTRICT,2.6479,204764.4,0.236,0.7575,0.6193,0.0351,0.0429,0.0007,0.1391,0.0345,0.0227,0.795,1582.833
MILLBURN TOWNSHIP,2.9565,204699.3,0.2229,0.8278,0.7468,0.0196,0.0183,0.0004,0.2008,0.0264,0.0143,0.7494,2254.5
BYRAM HILLS CENTRAL SCHOOL DISTRICT,2.5494,203896.1,0.1937,0.6833,0.6687,0.059,0.031,0.0001,0.046,0.0212,0.0043,0.9265,1294
SPRING LAKE,2.4672,203333.3,0.2103,0.7249,0.5595,0.014,0.0393,0,0.0072,0.0145,0,0.9763,161.5
EDGEMONT UNION FREE SCHOOL DISTRICT,2.1215,202963,0.2202,0.8429,0.7291,0.0341,0.0334,0.0004,0.2717,0.0379,0.0224,0.6379,902
MENLO PARK CITY ELEMENTARY,1.3168,202675.2,0.2304,0.8287,0.7826,0.052,0.0619,0.0002,0.0531,0.3042,0.0216,0.5126,2146.167
TEWKSBURY TOWNSHIP,2.5253,202325.6,0.1731,0.7266,0.5959,0.0061,0.0176,0,0.0407,0.0455,0.0105,0.8812,515.3333
WESTPORT SCHOOL DISTRICT,2.6217,201946.1,0.2198,0.777,0.6968,0.0226,0.0381,0.0012,0.0491,0.0365,0.0159,0.8912,2691.667
FAIR HAVEN BOROUGH,2.3183,200877.2,0.2292,0.66,0.64,0.0316,0.0225,0.0002,0.0154,0.0153,0.0188,0.9439,668.8333
UPPER SADDLE RIVER,2.9184,200568.2,0.2141,0.7077,0.6125,0.0071,0.0226,0.0004,0.1141,0.027,0.0153,0.8414,848.5
WELLESLEY,2.7154,200375.9,0.2482,0.8362,0.7317,0.0165,0.0639,0.0006,0.0817,0.0441,0.046,0.7867,2370.667
SCH DIST OF THE CHATHAMS,2.7109,198849.6,0.193,0.7645,0.7201,0.0278,0.0207,0.0002,0.0824,0.0314,0.009,0.8698,1895.667
COHASSET,2.6639,198332.4,0.2199,0.7163,0.5886,0.0168,0.0069,0.0017,0.0163,0.0082,0.033,0.9397,747.8333
CARLISLE,3.5292,197726.3,0.2976,0.8403,0.8744,0.0387,0.0812,0.0003,0.0952,0.0155,0.0061,0.8409,468
REED UNION ELEMENTARY,2.4201,194443.5,0.2592,0.8069,0.7253,0.0263,0.0429,0.0037,0.0902,0.0382,0.0125,0.8346,879.8333
CARROLL ISD,2.8495,193932,0.2082,0.748,0.6246,0.0289,0.0316,0.0039,0.0859,0.0622,0.0204,0.8069,3637.333
NORTH CALDWELL,2.447,193749.1,0.1989,0.734,0.5807,0.0057,0.0421,0,0.0373,0.0401,0.0027,0.9029,366
ALLENDALE,2.7507,192306.8,0.2527,0.7405,0.5193,0.0063,0.0136,0.0023,0.1098,0.0438,0.0033,0.8338,647.5
RIDGEFIELD SCHOOL DISTRICT,2.5781,191943.6,0.2295,0.7157,0.6692,0.0168,0.0335,0.0004,0.0469,0.0436,0.0063,0.8944,2518.5
RANCHO SANTA FE ELEMENTARY,1.9768,191665.8,0.2678,0.702,0.6291,0.0866,0.1229,0.0078,0.0576,0.0912,0.0105,0.817,520
PALO ALTO UNIFIED,2.5216,191548.5,0.2487,0.8356,0.7779,0.0692,0.0632,0.0025,0.3171,0.1533,0.0243,0.426,5852.333
SAN MARINO UNIFIED,2.7294,191303.5,0.2333,0.7985,0.6868,0.0319,0.0449,0,0.5591,0.0793,0.0074,0.3017,1472.167
RANDOLPH TOWNSHIP,2.1496,191192.4,0.2386,0.6848,0.6153,0.0328,0.0326,0.0009,0.0892,0.0967,0.0265,0.7834,2459.5
WILMETTE SD 39,2.6309,189332.5,0.2337,0.8398,0.743,0.0208,0.0356,0.0009,0.0995,0.0336,0.0048,0.8013,2497.667
KATONAH-LEWISBORO UNION FREE SCHOOL DISTRICT,1.9013,189188.4,0.2473,0.7414,0.6857,0.0196,0.0206,0.0006,0.0314,0.0542,0.0068,0.8772,1714.833
WARREN TOWNSHIP,2.4699,188392.1,0.2346,0.6648,0.5657,0.0118,0.0065,0,0.1732,0.0491,0.0144,0.7532,1473
GLEN RIDGE,2.1966,187999.2,0.2157,0.8,0.7171,0.0274,0.0296,0.0008,0.051,0.0368,0.0558,0.8313,810.8333
GARDEN CITY UNION FREE SCHOOL DISTRICT,2.559,187902.5,0.266,0.7345,0.6028,0.0435,0.0298,0.0001,0.033,0.0185,0.006,0.9403,1986
EAST WILLISTON UNION FREE SCHOOL DISTRICT,2.1169,187638.1,0.2301,0.6727,0.5684,0.0065,0.0116,0.0004,0.1348,0.0355,0.0062,0.82,835
LITTLE SILVER BOROUGH,2.6637,187272,0.2589,0.7031,0.66,0.0153,0.0269,0,0.0252,0.0184,0.0024,0.9496,542.1667
SOUTHBOROUGH,2.3085,184999.3,0.2079,0.6688,0.6869,0.0204,0.0054,0.0011,0.1034,0.0216,0.007,0.8505,1017.667
MANHATTAN BEACH UNIFIED,2.2626,184523.1,0.2369,0.7872,0.687,0.0321,0.0278,0.0008,0.0888,0.0862,0.0103,0.6663,2808
BERNARDS TOWNSHIP,3.0772,184450.5,0.2266,0.6961,0.6426,0.0256,0.0318,0.0002,0.2009,0.0343,0.0079,0.7403,2649.167
MAMARONECK UNION FREE SCHOOL DISTRICT,1.8713,183332.7,0.2875,0.6653,0.6387,0.0291,0.0473,0.0001,0.0474,0.1658,0.0284,0.7497,2301.833
RIVER FOREST SD 90,2.8371,183332.7,0.2095,0.8141,0.7169,0.0595,0.0518,0.0002,0.0416,0.0703,0.0694,0.7605,936.1667
HO-HO-KUS,2.6855,182777.1,0.2237,0.7219,0.6664,0.0115,0.0199,0,0.0744,0.0511,0.0012,0.8733,430
BOXFORD,2.4767,182499.3,0.1965,0.7,0.5655,0.0124,0.0304,0,0.0128,0.0165,0.0043,0.9542,492.8333
COLTS NECK TOWNSHIP,2.0016,181713.7,0.2504,0.6346,0.5327,0.0253,0.0255,0,0.0367,0.0238,0.0137,0.9257,850.8333
WESTON,3.098,181521.1,0.2508,0.8038,0.7697,0.0449,0.0373,0.0023,0.1026,0.0371,0.067,0.7494,1105.667
WOODCLIFF LAKE,2.3286,181249.4,0.2227,0.6538,0.6001,0.0172,0.0189,0.0007,0.0691,0.0335,0.0019,0.888,477.5
ALEXANDRIA TOWNSHIP,1.1175,180554.9,0.2517,0.471,0.428,0.0247,0.0422,0,0.0242,0.0331,0.031,0.9088,390.8333
SUNSET RIDGE SD 29,2.2721,180554.9,0.2144,0.7855,0.6708,0.0128,0.0103,0.0027,0.0473,0.0251,0.001,0.8995,352.6667
ENGLEWOOD CLIFFS,3.0071,180384,0.3393,0.6461,0.6422,0.0825,0.2274,0.009,0.4693,0.067,0.0247,0.4198,254.3333
LOS GATOS UNION ELEMENTARY,1.694,179778.8,0.2359,0.7151,0.6156,0.0199,0.0322,0.0078,0.123,0.0615,0.0072,0.716,2109.667
SUDBURY,3.2685,179721.6,0.2165,0.7913,0.6968,0.0241,0.0195,0.0009,0.0519,0.022,0.0241,0.863,2099.167
KENTFIELD ELEMENTARY,1.7915,179686.9,0.2706,0.6671,0.5935,0.038,0.0747,0.0002,0.0504,0.077,0.0078,0.7382,761.6667
LA CANADA UNIFIED,2.5901,179193,0.2676,0.7904,0.6314,0.0237,0.051,0.0021,0.264,0.0928,0.0049,0.5605,1887
GLEN ROCK,2.6046,179097.8,0.2372,0.6704,0.655,0.0091,0.0184,0.0013,0.1165,0.0236,0.0103,0.8415,1147.5
MONTGOMERY TOWNSHIP,2.6501,178635.8,0.2176,0.8236,0.689,0.0158,0.0306,0.0013,0.3657,0.0325,0.0305,0.5692,2398.167
RIDGEWOOD VILLAGE,2.9477,178282.3,0.25,0.8027,0.7083,0.021,0.0442,0.0009,0.1598,0.0601,0.0113,0.7434,2722.667
WYCKOFF TOWNSHIP,2.1768,177726.7,0.2242,0.6725,0.5713,0.0192,0.022,0.0001,0.0523,0.0291,0.0043,0.9095,1583.167
WINCHESTER,3.2431,177332.8,0.2474,0.7828,0.6381,0.0169,0.0327,0.0013,0.123,0.0306,0.0099,0.8008,2076.5
ARDSLEY UNION FREE SCHOOL DISTRICT,2.3263,176886.3,0.2434,0.7637,0.6669,0.0158,0.0278,0,0.1718,0.0802,0.0362,0.7109,922
MENDHAM BOROUGH,3.0212,175666.2,0.2314,0.7352,0.5804,0.0213,0.035,0.0025,0.0366,0.024,0,0.9324,455.5
HARVARD,2.6774,174317.7,0.2402,0.5208,0.6791,0.0324,0.0747,0.0008,0.0791,0.0192,0.0194,0.8677,581.3333
WASHINGTON UNION ELEMENTARY,0.8862,173863.2,0.1709,0.6693,0.523,0.0184,0.0139,0.0044,0.1195,0.1019,0.0132,0.7206,650.8333
WESTWOOD,3.0273,173354.8,0.2371,0.706,0.5736,0.0344,0.0437,0.0014,0.0636,0.0207,0.0224,0.8798,1508.333
LONG HILL TOWNSHIP,2.3588,173025.9,0.2538,0.6123,0.4976,0.0343,0.0213,0.0013,0.077,0.0643,0.006,0.8395,664.1667
DEERFIELD SD 109,2.2438,172880.9,0.2495,0.756,0.6564,0.0232,0.0318,0.0009,0.0287,0.0263,0.0035,0.9153,2122.667
MERCER ISLAND SCHOOL DISTRICT,2.7269,172177,0.2339,0.832,0.7026,0.0245,0.0291,0.0042,0.2012,0.0283,0.012,0.7238,1947.333
EASTON SCHOOL DISTRICT,2.4471,172058.4,0.2543,0.6915,0.6271,0.0062,0.0189,0.0007,0.042,0.0409,0.0109,0.9006,734.5
ROSLYN UNION FREE SCHOOL DISTRICT,2.0889,171836.3,0.2739,0.7332,0.6712,0.0277,0.0434,0,0.1415,0.0583,0.035,0.7627,1509.833
NORTHBROOK/GLENVIEW SD 30,2.9087,171590.5,0.2726,0.656,0.5928,0.043,0.0633,0.0013,0.2096,0.0404,0.0077,0.7117,778.3333
LAFAYETTE ELEMENTARY,1.6854,171319,0.2425,0.7687,0.6586,0.0245,0.0202,0.0002,0.1026,0.0587,0.0096,0.7575,2241.333
LAS LOMITAS ELEMENTARY,2.66,170832.9,0.2702,0.8576,0.7516,0.0415,0.0515,0.0006,0.1512,0.0907,0.0125,0.704,841.6667
GREENWICH SCHOOL DISTRICT,1.964,170419.4,0.3024,0.7016,0.5969,0.0266,0.0439,0.0008,0.0874,0.1595,0.0299,0.7048,3943.833
HOLMDEL TOWNSHIP,2.3424,170384.2,0.2692,0.641,0.5307,0.0241,0.0511,0.0015,0.1946,0.0378,0.0077,0.7309,1469.833
NEWFIELDS SCHOOL DISTRICT,1.6733,169999.6,0.2493,0.5808,0.5642,0.0032,0.0094,0,0.0126,0.0116,0.0036,0.9619,78.6667
RONDOUT SD 72,1.1088,169999.6,0.266,0.6494,0.5529,0.0129,0.0088,0,0.1072,0.0907,0.0459,0.7059,110.5
HASTINGS-ON-HUDSON UNION FREE SCHOOL DISTRICT,1.9428,169843.3,0.2444,0.6575,0.6532,0.0278,0.0388,0.0012,0.0838,0.0956,0.0273,0.7606,721.8333
MOUNTAIN BROOK CITY,3.0289,169827.2,0.2586,0.8616,0.7768,0.0225,0.049,0.0003,0.0084,0.0065,0.0027,0.9802,2121.333
HERMOSA BEACH CITY ELEMENTARY,1.6359,169341.7,0.2611,0.6902,0.6802,0.0455,0.0576,0.0041,0.0692,0.0981,0.0104,0.7467,836.1667
NEW HOPE-SOLEBURY SD,1.8652,169285.3,0.2414,0.6304,0.5955,0.0163,0.0535,0.0002,0.0287,0.0335,0.0079,0.9132,771.6667
SAN CARLOS ELEMENTARY,1.0197,169166.3,0.25,0.6116,0.5643,0.029,0.0324,0.0047,0.0977,0.1354,0.0122,0.6193,2059.667
SYOSSET CENTRAL SCHOOL DISTRICT,2.3239,167269.4,0.2467,0.6709,0.5498,0.0116,0.0255,0.0011,0.2499,0.0269,0.0062,0.7092,3062.167
OLD TAPPAN,2.4464,167045.1,0.2434,0.6064,0.4956,0.0177,0.03,0,0.2899,0.0397,0.0115,0.658,586.8333
SUMMIT CITY,2.5423,166666.3,0.3001,0.688,0.5611,0.0635,0.0669,0.0001,0.0757,0.1258,0.0413,0.7217,1943.833
WATCHUNG BOROUGH,2.6185,166666.3,0.2594,0.636,0.5503,0.0221,0.0178,0,0.1853,0.0626,0.0467,0.696,482.1667
MORAGA ELEMENTARY,2.2665,166525.1,0.2605,0.7896,0.6931,0.0439,0.0481,0.0015,0.1727,0.0702,0.0131,0.6205,1232.667
CHESTER TOWNSHIP,2.3451,166166.3,0.2881,0.6822,0.54,0.0432,0.0688,0.0011,0.0416,0.0646,0.0104,0.8717,944.6667
REDDING SCHOOL DISTRICT,2.4493,165740.4,0.2171,0.6959,0.6152,0.0126,0.0233,0.0036,0.033,0.0328,0.0072,0.888,824.5
ESSEX FELLS,2.5637,165714,0.2994,0.7437,0.6767,0.0103,0.0078,0,0.0162,0.0161,0.0055,0.9622,129
HOPKINTON,2.7689,165362,0.235,0.6801,0.6608,0.0136,0.0215,0.003,0.0545,0.0136,0.0062,0.9107,1628.167
JERICHO UNION FREE SCHOOL DISTRICT,2.8686,165285.4,0.268,0.7544,0.6375,0.0134,0.024,0.0006,0.3585,0.0247,0.0206,0.5945,1347
DEMAREST,2.7943,164999.7,0.2321,0.6963,0.6675,0.0025,0.0203,0.0015,0.3443,0.0485,0.0055,0.5996,457.5
LINCOLNSHIRE-PRAIRIEVIEW SD 103,3.5306,164196.1,0.2435,0.7717,0.6058,0.0187,0.0203,0.001,0.2781,0.0188,0.0084,0.6696,1148.5
LOMA PRIETA JOINT UNION ELEMENTARY,1.9007,164062.2,0.2429,0.4485,0.5253,0.0186,0.0481,0.0106,0.0545,0.0779,0.0033,0.8163,300.6667
CONCORD,3.1885,163888.6,0.2706,0.6044,0.7126,0.04,0.0463,0.0011,0.0665,0.0432,0.0465,0.8108,1315
CHAGRIN FALLS EXEMPTED VILLAGE,2.2476,163749.7,0.2896,0.674,0.6217,0.0331,0.037,0.0013,0.0089,0.0089,0.0027,0.9668,932.3333
NEW PROVIDENCE,2.5509,163513.3,0.3076,0.687,0.6268,0.0355,0.0544,0.001,0.1444,0.0687,0.0121,0.7715,998.1667
ORADELL,2.4874,163124.7,0.2213,0.6362,0.533,0.021,0.0166,0,0.1184,0.0449,0.0014,0.8166,459.3333
IRVINGTON UNION FREE SCHOOL DISTRICT,2.2999,162777.5,0.2956,0.6972,0.5847,0.0128,0.0423,0.0082,0.109,0.0452,0.0444,0.7794,822.3333
LEXINGTON,3.8493,162683.6,0.265,0.8351,0.7197,0.0224,0.0405,0.0007,0.29,0.0375,0.0417,0.5894,3043
HAWORTH,2.3692,162666.4,0.243,0.732,0.6128,0.0232,0.0279,0,0.1458,0.0185,0.0051,0.664,320.8333
OAK GROVE SD 68,1.9276,161818,0.2741,0.714,0.6112,0.0621,0.0569,0,0.1113,0.0332,0.0156,0.7799,670.1667
CLOSTER,2.9749,161612.7,0.2805,0.617,0.561,0.037,0.0213,0,0.3768,0.0535,0.0159,0.5525,805.3333
PELHAM UNION FREE SCHOOL DISTRICT,2.0946,161511.4,0.2535,0.665,0.6584,0.0127,0.0265,0.0005,0.0506,0.1259,0.0496,0.7381,1345.167
MERRICK UNION FREE SCHOOL DISTRICT,1.9922,161499.8,0.2343,0.5683,0.5511,0.022,0.0178,0.001,0.0307,0.0471,0.0089,0.9093,983.6667
BERKELEY HEIGHTS,2.5732,161110.9,0.2659,0.673,0.5794,0.0197,0.0089,0.0004,0.1217,0.0501,0.0115,0.8153,1182.167
PLEASANTVILLE UNION FREE SCHOOL DISTRICT,2.1309,160999.8,0.255,0.6809,0.6337,0.0148,0.018,0.0008,0.0661,0.0597,0.0189,0.8509,825
UNIONVILLE-CHADDS FORD SD,2.7802,160920.8,0.2393,0.6477,0.5876,0.0121,0.0127,0.0009,0.0837,0.0262,0.0086,0.8719,1957.667
EANES ISD,2.4651,160749.8,0.2831,0.8168,0.7083,0.0348,0.0322,0.0031,0.1153,0.1045,0.0084,0.7428,3542.167
PALOS VERDES PENINSULA UNIFIED,1.9827,159152.8,0.2836,0.7907,0.6135,0.0216,0.0393,0.0011,0.2999,0.0768,0.025,0.5544,5306.667
HOPEWELL VALLEY REGIONAL,2.3183,157981.5,0.2614,0.6322,0.6048,0.0206,0.0222,0.0003,0.0994,0.0293,0.0224,0.8375,1809.333
WAYLAND,2.9152,157870.2,0.2647,0.7933,0.7002,0.012,0.0248,0,0.1356,0.0385,0.0493,0.7412,1277.167
FAIRFIELD SCHOOL DISTRICT,1.9532,157857,0.2853,0.6433,0.549,0.024,0.0423,0.0012,0.0516,0.0729,0.0224,0.8355,4861.5
UNION TOWNSHIP,2.2923,157692.2,0.2667,0.3834,0.2681,0.1368,0.1115,0,0.0706,0.0174,0.0151,0.873,350
TREDYFFRIN-EASTTOWN SD,0.4627,157644.5,0.2778,0.7807,0.664,0.0374,0.0449,0.0034,0.0773,0.0415,0.1423,0.7156,5753.5
CRANBURY TOWNSHIP,3.0454,157631.4,0.2755,0.6788,0.5821,0.032,0.0499,0,0.221,0.0225,0.0236,0.7226,423
BETHLEHEM TOWNSHIP,2.0722,157618.9,0.2401,0.4339,0.4988,0.0069,0.0133,0.0047,0.0373,0.0309,0.0091,0.9149,376.8333
WESTFIELD,2.5014,157291.5,0.2689,0.7043,0.6253,0.0193,0.0256,0.0001,0.0704,0.035,0.0258,0.8649,3088.833
ACTON-BOXBOROUGH,3.1116,157191.6,0.292,0.7728,0.6932,0.038,0.047,0.0017,0.2361,0.0318,0.0079,0.6926,958.3333
PRINCETON REGIONAL,3.1399,156833.2,0.2946,0.8118,0.7417,0.0647,0.0805,0.0012,0.177,0.0998,0.0659,0.6368,1644.667
LIVINGSTON TOWNSHIP,2.5417,156818,0.2623,0.7026,0.646,0.0159,0.0307,0.0001,0.2317,0.0355,0.027,0.6912,2678.833
HAPPY VALLEY ELEMENTARY,0.7423,156666.5,0.2097,0.505,0.5539,0.0783,0.0723,0,0.0247,0.0522,0.0068,0.8446,74.1667
WEST WINDSOR-PLAINSBORO R,3.2531,156652.2,0.2782,0.8015,0.6681,0.0298,0.0587,0.0003,0.5624,0.0424,0.0635,0.3283,4418.167
KILDEER COUNTRYSIDE CCSD 96,2.8036,155967.6,0.2604,0.6915,0.5984,0.0294,0.024,0.001,0.2015,0.0591,0.0138,0.6878,2263.333
BEDFORD,2.5017,155696.1,0.2678,0.6394,0.6361,0.0333,0.0575,0.0029,0.1161,0.0468,0.0665,0.7339,1104.833
SAN PASQUAL UNION ELEMENTARY,0.6351,155277.7,0.2556,0.5788,0.5761,0.0329,0.0552,0.0047,0.0389,0.2385,0.0182,0.6611,386.5
TOPSFIELD,2.6061,155263,0.2411,0.7346,0.5236,0.012,0.035,0,0.0173,0.023,0.0069,0.9489,358.3333
MASCONOMET,2.0047,154999.9,0.3019,0.5673,0.4902,0.0214,0.034,0.0009,0.0186,0.0184,0.0043,0.9505,724.5
WOODBRIDGE SCHOOL DISTRICT,2.5644,154166.6,0.2705,0.716,0.6236,0.0103,0.0234,0.0038,0.144,0.0414,0.0321,0.7678,431.5
SAN RAMON VALLEY UNIFIED,1.8509,154131.8,0.2654,0.6706,0.5753,0.0291,0.0324,0.0017,0.3066,0.0759,0.0193,0.5237,13706.67
DEL MAR UNION ELEMENTARY,2.9095,154040.3,0.264,0.7939,0.7163,0.0399,0.0374,0.0019,0.2891,0.0667,0.0096,0.6074,2509.833
CLINTON TOWNSHIP,2.0429,153870.9,0.287,0.5886,0.5203,0.0204,0.0253,0.0011,0.0627,0.0302,0.0181,0.8808,1179.5
RAMSEY,2.2838,153614.4,0.2446,0.6523,0.5497,0.0437,0.0312,0.0001,0.0737,0.0573,0.006,0.8455,1407.667
HARDING TOWNSHIP,1.7152,152857.1,0.3972,0.7323,0.6539,0.0629,0.0863,0.0024,0.0377,0.0314,0.0175,0.8967,212.5
NEEDHAM,2.7287,152812.5,0.261,0.7895,0.6412,0.0362,0.0395,0.0013,0.0678,0.0392,0.0322,0.8306,2556
SHAMONG TOWNSHIP,1.4216,152777.7,0.248,0.4191,0.3052,0.02,0.0553,0.001,0.0084,0.0243,0.0113,0.9482,635.3333
ANCHORAGE IND,2.5686,152727.2,0.2891,0.7808,0.6862,0.0248,0.0346,0.0006,0.0482,0.0124,0.0006,0.9249,257.8333
MONTVILLE TOWNSHIP,2.4145,152659.5,0.2925,0.6652,0.5478,0.0364,0.0251,0.0021,0.2141,0.0382,0.0138,0.723,1919.333
LOWER MERION SD,2.6955,152410,0.2972,0.7734,0.6824,0.0367,0.0652,0.001,0.0869,0.0265,0.082,0.7913,3481.333
PORT WASHINGTON UNION FREE SCHOOL DISTRICT,1.9304,151860.4,0.3213,0.6072,0.5524,0.0398,0.0664,0.0005,0.1189,0.1493,0.0208,0.7053,2311
ORANGE CITY,1.9015,151162.8,0.3018,0.7271,0.633,0.0286,0.0313,0.0032,0.0482,0.0105,0.2208,0.6641,970.8333
BRANCHBURG TOWNSHIP,1.9923,151153.8,0.2341,0.5947,0.5179,0.0112,0.0157,0,0.0741,0.0551,0.0289,0.8339,1199.833
SOMERS CENTRAL SCHOOL DISTRICT,1.6258,150705.9,0.2339,0.5377,0.4851,0.0078,0.0147,0.0008,0.0408,0.0337,0.0125,0.9109,1445
LAS VIRGENES UNIFIED,1.1924,150672,0.2994,0.6452,0.5633,0.0366,0.0491,0.0038,0.0795,0.0841,0.0199,0.7782,5130.333
MADISON,2.5582,150409.8,0.2777,0.6406,0.5761,0.0401,0.0462,0.0014,0.0847,0.0829,0.0286,0.7986,1059.667
RUMSON BOROUGH,2.5191,149999,0.3015,0.6609,0.5885,0.0349,0.0467,0.0007,0.0162,0.0093,0.0012,0.9725,667.5
CUPERTINO UNION,3.0864,149864.6,0.2794,0.7775,0.6451,0.0503,0.0483,0.0022,0.7166,0.0508,0.0107,0.2108,12336.83
MARLBORO TOWNSHIP,2.2073,149430.8,0.2667,0.5875,0.5343,0.0116,0.0197,0.0011,0.2157,0.0323,0.0189,0.7228,3723.333
