educationagencyname,averagetest,income50perc,ginico,percentmalesBA,percentfemalesBA,percentmalespov,percentfemalespov,percentnatam,percentasian,percenthispanic,percentblacks,percentwhites,totalenrollment
HELLGATE ELEM,1.2222,74249.05,0.3751,0.3816,0.315,0.1221,0.1585,0.0401,0.0314,0.0324,0.008,0.8579,852.5
OKEENE,-0.6897,74249.05,0.3691,0.1914,0.1657,0.0595,0.1398,0.046,0.0012,0.1468,0.0025,0.7758,136.6667
SAHUARITA UNIFIED DISTRICT,0.0295,74249.05,0.3159,0.2982,0.2636,0.046,0.0858,0.013,0.0177,0.4759,0.0364,0.4478,2523.667
SPENCER-E BROOKFIELD,0.4851,74249.05,0.32,0.2017,0.2043,0.0522,0.0761,0.0014,0.0079,0.0581,0.0086,0.8973,929.1667
WEST WASHINGTON CO CUD 10,0.6226,74249.05,0.2712,0.1945,0.1866,0.044,0.0743,0,0.0056,0.0151,0.0007,0.968,232.8333
BISMARCK 1,0.5632,74244.02,0.3678,0.3402,0.321,0.0777,0.1114,0.0738,0.0095,0.0127,0.0146,0.8797,4929.667
L'ANSE CREUSE PUBLIC SCHOOLS,0.4296,74233.74,0.3629,0.2114,0.2051,0.0879,0.1252,0.0026,0.012,0.0299,0.1185,0.8003,5274.167
AGAWAM,1.2177,74199.05,0.3276,0.2669,0.2464,0.0574,0.1023,0.0015,0.018,0.0423,0.0119,0.9124,1925.667
FAIRFIELD AREA SD,0.3509,74199.05,0.3152,0.1964,0.215,0.0307,0.0535,0.0044,0.011,0.0142,0.0128,0.9482,546.3333
SPENCERPORT CENTRAL SCHOOL DISTRICT,0.8856,74188.24,0.3428,0.294,0.308,0.0687,0.0712,0.0038,0.0266,0.0367,0.0551,0.8605,1757.667
