educationagencyname,averagetest,income50perc,percentblacks,percentwhites,totalenrollment
BRITTAN ELEMENTARY,-1.192,71219.25,0.0027,0.7701,322
BRITTON-HECLA SCHOOL DISTRICT 45-4,0.7589,62035.58,0.0053,0.905,205.5
BRITTON-MACON AREA SCHOOL DISTRICT,-0.327,61833.21,0.006,0.9358,290.3333
BROADALBIN-PERTH CENTRAL SCHOOL DISTRICT,-0.0302,57173.2,0.0212,0.9443,822.6667
BROADUS ELEM,0.7589,48499.3,0.0114,0.8725,120
BROCK ISD,0.9802,88408.55,0.0114,0.9007,416.6667
BROCKPORT CENTRAL SCHOOL DISTRICT,0.5213,69872.76,0.0521,0.8545,1723.667
BROCKTON,-0.4268,50995.66,0.5163,0.2714,7395.333
BROCKWAY AREA SD,0.5526,50749.93,0.0021,0.9928,488.1667
BROCTON CENTRAL SCHOOL DISTRICT,-0.232,53999.6,0.0126,0.9077,251.5
BRODHEAD SCHOOL DISTRICT,0.1388,71021.01,0.007,0.9291,447.6667
BROKEN ARROW,0.0175,68423.35,0.0507,0.6969,7303.167
BROKEN BOW,-0.5159,34999,0.0892,0.4641,679.1667
BROKEN BOW PUBLIC SCHOOLS,0.7409,53571.07,0.0168,0.9248,327.5
BRONAUGH R-VII,-0.6674,55166.15,0,0.9905,97.8333
BRONSON COMMUNITY SCHOOL DISTRICT,-0.1573,49999,0.0075,0.7932,519.3333
BRONTE ISD,0.0472,46749.65,0,0.6566,132.1667
BRONXVILLE UNION FREE SCHOOL DISTRICT,2.4356,212352.9,0.0044,0.8953,763.3333
BROOKE COUNTY SCHOOLS,-0.5325,52272.5,0.0134,0.9638,1463.833
BROOKFIELD,1.4587,80499.78,0.003,0.932,161.8333
BROOKFIELD CENTRAL SCHOOL DISTRICT,-0.3563,41749.65,0.0187,0.9672,107
BROOKFIELD LAGRANGE PARK SD 95,0.9985,89337.66,0.0206,0.6999,704
BROOKFIELD LOCAL,-0.209,34604.34,0.0394,0.9044,522.6667
BROOKFIELD R-III,0.282,55499.45,0.0164,0.9266,476.6667
BROOKFIELD SCHOOL DISTRICT,1.8373,139253.8,0.0105,0.8721,1283.667
BROOKHAVEN SCHOOL DIST,-1.0415,39326.06,0.5971,0.3923,1336.167
BROOKHAVEN-COMSEWOGUE UNION FREE SCHOOL DISTRICT,0.6328,93471.48,0.0209,0.7422,1733
BROOKINGS SCHOOL DISTRICT 05-1,1.0742,76481.42,0.0156,0.8809,1345.833
BROOKINGS-HARBOR SD 17C,-0.6993,46999.6,0.0178,0.6666,720.6667
BROOKLAND SCHOOL DISTRICT,-0.0629,59999,0.0088,0.9451,806.3333
BROOKLINE,2.9544,145832.5,0.0709,0.5874,2989
BROOKLINE SCHOOL DISTRICT,1.6222,111057.3,0.0058,0.9445,372.6667
BROOKLYN CENTER SCHOOL DISTRICT,-1.1007,46199.76,0.4292,0.1915,825.5
BROOKLYN CITY,-0.1023,43749.25,0.0611,0.6718,634.6667
BROOKLYN SCHOOL DISTRICT,0.4969,85525.89,0.0177,0.9203,575.3333
BROOKLYN-GUERNSEY-MALCOM COMM SCHOOL DISTRICT,0.2166,71762.38,0.0066,0.8996,246.3333
BROOKS COUNTY,-1.0268,42166.23,0.5012,0.371,1037.333
BROOKS COUNTY ISD,-1.2972,33213.64,0.0005,0.0144,690.5
BROOKVILLE AREA SD,0.2684,48665.93,0.0064,0.9739,754
BROOKVILLE LOCAL,1.2166,65877.98,0.0048,0.969,694.5
BROOKWOOD SD 167,-1.0402,53888.5,0.786,0.0512,782.1667
BROWARD,0.3352,56779.38,0.3818,0.2623,118258
BROWERVILLE PUBLIC SCHOOL DISTRICT,-0.0695,67070.95,0.0016,0.9692,195
BROWN CITY COMMUNITY SCHOOLS,-0.0375,47187.06,0.0096,0.9656,433.5
BROWN COUNTY CUSD 1,-0.2087,55499.45,0.0039,0.9721,295.6667
BROWN COUNTY SCHOOL CORPORATION,0.4033,56859.78,0.0005,0.9483,905
BROWN DEER SCHOOL DISTRICT,-0.1282,75980.35,0.4524,0.3321,719.5
BROWN LOCAL,-0.1304,64411.47,0.0283,0.9422,316.1667
BROWNFIELD ISD,-1.5504,53153.53,0.0451,0.2028,768.1667
BROWNING ELEM,-2.3749,30233.29,0,0.0301,852.5
BROWNSBORO ISD,0.2622,64921.55,0.0883,0.7834,1261.5
BROWNSBURG COMMUNITY SCH CORP,1.6191,89400.01,0.0909,0.8084,3552.333
BROWNSTOWN CNT COM SCH CORP,0.433,60833.28,0.0011,0.9594,776.3333
BROWNSTOWN CUSD 201,-0.5579,49070.62,0.005,0.9603,158.5
BROWNSVILLE AREA SD,-0.864,39249.15,0.1609,0.8312,841.1667
BROWNSVILLE ISD,-0.5117,28229.69,0.0013,0.011,23067.67
BROWNWOOD ISD,-0.0811,47045.05,0.0595,0.5359,1544.333
BRUCE SCHOOL DISTRICT,-0.3068,42187.06,0.0023,0.9688,217.8333
BRUCEVILLE-EDDY ISD,-0.3311,76739.06,0.0225,0.6989,376.5
BRUNEAU-GRAND VIEW JOINT DIST,-1.2939,46249.76,0.0011,0.6223,143.5
BRUNSWICK CENTRAL SCHOOL DISTRICT (BRITTONKILL),0.2308,63124.79,0.0241,0.9507,583.6667
BRUNSWICK CITY,1.1207,77180.77,0.0173,0.9182,3443.167
BRUNSWICK CO PBLC SCHS,-0.8246,32726.73,0.7756,0.2002,889.8333
BRUNSWICK COUNTY SCHOOLS,0.195,48322.12,0.1755,0.6901,6167
BRUNSWICK R-II,-0.2483,31249.75,0.0667,0.8778,112.6667
BRUNSWICK SCHOOL DEPARTMENT,0.9371,76639.27,0.0257,0.8986,1036.333
BRUSHTON-MOIRA CENTRAL SCHOOL DISTRICT,-0.785,40555.44,0.0028,0.9901,354
BRYAN CITY,0.5953,59999,0.0033,0.9152,915.8333
BRYAN COUNTY,0.5249,72314.97,0.1555,0.7194,3550.5
BRYAN ISD,-0.6423,39464.92,0.2122,0.2759,7170.667
BRYANT SCHOOL DISTRICT,0.7336,65866.55,0.0939,0.8103,3831.167
BRYSON ISD,-1.0692,67874.48,0,0.8469,100.3333
BUCHANAN CO PBLC SCHS,-0.2526,37064.8,0.001,0.9943,1439
BUCHANAN CO. R-IV,0.4703,56399.36,0.0052,0.9709,145.5
BUCHANAN COMMUNITY SCHOOLS,-0.2555,47916.08,0.0644,0.8518,749.5
BUCKEYE CENTRAL LOCAL,0.196,56499.35,0.0096,0.9426,315.3333
BUCKEYE ELEMENTARY DISTRICT,-1.2419,60225.55,0.0857,0.3584,3245.667
BUCKEYE LOCAL,1.0882,71890.51,0.0139,0.9538,1076.167
BUCKEYE LOCAL,0.41,61124.93,0.0147,0.9134,880.3333
BUCKEYE LOCAL,0.0117,52307.46,0.0063,0.973,878
BUCKEYE UNION ELEMENTARY,0.9185,116712.8,0.0144,0.7214,3416
BUCKEYE VALLEY LOCAL,0.9319,76595.69,0.0051,0.9333,1110.833
BUCKINGHAM CO PBLC SCHS,-0.107,32499.5,0.3819,0.5538,854.1667
BUCKLEY COMMUNITY SCHOOL DISTRICT,-0.8052,52999.7,0.0017,0.9296,183.5
BUCKLIN,-1.1787,45999.8,0.0275,0.8555,110.1667
BUCYRUS CITY,-0.5627,47205.44,0.0091,0.9226,695.1667
BUELLTON UNION ELEMENTARY,0.0009,81944.16,0.0042,0.4711,433.5
BUENA PARK ELEMENTARY,-0.5554,47940.59,0.0563,0.1029,3534.167
BUENA REGIONAL,0.084,61499.9,0.1612,0.5779,922.6667
BUENA VISTA CITY PBLC SCHS,-0.6609,41999.6,0.0588,0.8987,525.3333
BUENA VISTA SCHOOL DISTRICT,-2.4258,16832.97,0.9025,0.0278,435.1667
BUENA VISTA SCHOOL DISTRICT NO. R-31,0.6074,52615.12,0.0076,0.8684,404.8333
BUFFALO,-1.4011,56249.38,0,0.6895,114
BUFFALO CITY SCHOOL DISTRICT,-1.9225,25381.5,0.5661,0.2152,17168.17
BUFFALO IS. CENTRAL SCH. DIST.,-0.0468,50749.93,0.0009,0.8235,395
BUFFALO ISD,-0.3004,35333.26,0.068,0.542,383.8333
BUFFALO LAKE-HECTOR SCHOOL DISTRICT,0.3733,66124.59,0.0041,0.8233,267.3333
BUFFALO PUBLIC SCHOOL DISTRICT,1.0138,81544.88,0.0162,0.9218,2626
BUFORD CITY,0.6801,37499.5,0.1407,0.5308,1601.5
BUHL JOINT DISTRICT,-0.7066,48082.72,0.0056,0.6547,592.6667
BUHLER,0.8723,69684.14,0.0226,0.9143,1030.167
BULLARD ISD,0.4281,76785.64,0.0561,0.8662,978.5
BULLHEAD CITY SCHOOL DISTRICT,-1.0237,30517.14,0.0264,0.5524,2464.167
BULLITT CO,0.046,61922.14,0.0102,0.9495,5925.167
BULLOCH COUNTY,-0.2338,50103.08,0.3458,0.5599,4353.833
BULLOCK COUNTY,-2.3919,28210.9,0.9109,0.0069,695.3333
BULLOCK CREEK SCHOOL DISTRICT,0.1532,66943.98,0.009,0.9626,890.6667
BUNA ISD,-0.2957,82588.98,0.0344,0.9123,696.3333
BUNCOMBE COUNTY SCHOOLS,0.6863,52045.25,0.0748,0.7619,12415
BUNKER HILL CUSD 8,-0.174,56666,0.0221,0.9509,289.1667
BUNKER R-III,-0.931,32374.53,0.0014,0.9972,113.6667
BURBANK SD 111,-0.5376,66147.73,0.0165,0.5462,2183.167
BURBANK UNIFIED,-0.0108,72264.8,0.0242,0.4676,6814.5
BUREAU VALLEY CUSD 340,0.3553,58207.51,0.001,0.9521,474
BURGETTSTOWN AREA SD,0.2533,53799.62,0.0161,0.9666,641
BURGIN IND,-0.3795,54538.01,0.0245,0.9228,205
BURKBURNETT ISD,0.0138,59472.73,0.074,0.7324,1504.667
BURKE COUNTY,-0.954,35833.17,0.6597,0.3063,1994.667
BURKE COUNTY SCHOOLS,0.6356,47417.28,0.0707,0.7531,6210
BURKE SCHOOL DISTRICT,0.4209,64199.72,0.0014,0.9458,120.1667
BURKE SCHOOL DISTRICT 26-2,-0.0027,57499.25,0,0.8689,82.5
BURLESON ISD,0.3375,72735.84,0.0472,0.7532,4663
BURLINGAME ELEMENTARY,1.2752,113140.5,0.0069,0.4418,1813.333
BURLINGAME PUBLIC SCHOOL,0.5983,57499.25,0.0025,0.978,144.1667
BURLINGTON,1.5899,112726.8,0.0482,0.7649,1708.667
BURLINGTON,0.4444,61333.24,0.0115,0.9078,395.5
BURLINGTON AREA SCHOOL DISTRICT,0.3801,67697.6,0.0216,0.8583,1416.667
BURLINGTON CITY,-1.0317,48067.57,0.5729,0.3295,629.6667
BURLINGTON COMM SCHOOL DISTRICT,-0.2232,39999,0.1446,0.7407,1854.5
BURLINGTON PUBLIC SCHOOL DISTRICT NO. RE-6J,0.0662,51785.54,0.0076,0.6132,332.3333
BURLINGTON SCHOOL DISTRICT,0.4704,44328.4,0.133,0.7188,1556.667
BURLINGTON TOWNSHIP,0.418,105389.7,0.3379,0.4856,1881.667
BURLINGTON-EDISON SCHOOL DISTRICT,-0.2695,64880.63,0.0059,0.586,1746.833
BURNET CISD,-0.2386,48402.1,0.0127,0.7108,1483
BURNHAM SD 154-5,-1.5961,37832.77,0.4588,0.1081,125.5
BURNS FLAT-DILL CITY,-1.0661,34999,0.0401,0.7459,286
BURNSVILLE PUBLIC SCHOOL DISTRICT,0.4839,84059.71,0.1738,0.5769,4217
BURNT HILLS-BALLSTON LAKE CENTRAL SCHOOL DISTRICT,1.3397,92094.91,0.0112,0.9552,1494
BURR OAK COMMUNITY SCHOOL DISTRICT,-1.0747,37374.52,0,0.9446,125.5
BURRELL SD,0.3959,56399.36,0.0216,0.9406,863.1667
BURRILLVILLE,0.0086,76898.66,0.0196,0.9411,1126.167
BURRTON,0.0177,65249.65,0.0144,0.8533,105.6667
BURTON ELEMENTARY,-1.293,61533.99,0.0105,0.3105,2445.833
BURTON ISD,-0.0915,52499.75,0.1755,0.6515,155.8333
BURWELL PUBLIC SCHOOLS,1.1874,51908.9,0.0034,0.9763,149.6667
BUSHLAND ISD,0.962,87499.5,0.0075,0.8486,609.3333
BUSHNELL PRAIRIE CITY CUSD 170,-0.9598,56249.38,0.0014,0.9405,351
BUTLER,0.8169,90624.38,0.0129,0.858,404.8333
BUTLER AREA SD,0.5601,61529.5,0.0277,0.944,3452.5
BUTLER CO,-0.1615,41874.63,0.0063,0.9486,976.1667
BUTLER COUNTY,-1.2081,31022.52,0.6067,0.3741,1527.833
BUTLER R-V,0.1005,45908.91,0.0147,0.95,458.6667
BUTLER SD 53,3.1074,222413.8,0.0183,0.547,277.1667
BUTNER,-2.4199,32332.87,0.0203,0.517,94.8333
BUTTE COUNTY JOINT DISTRICT,-0.0157,53142.54,0.0033,0.9394,196.8333
BUTTE ELEM,0.6275,48228.52,0.0048,0.8889,1917.833
BUTTE VALLEY UNIFIED,-1.6079,38999.2,0.0082,0.5482,147.1667
BUTTERFIELD PUBLIC SCHOOL DISTRICT,-0.3116,47499.5,0.0016,0.5947,106.6667
BUTTEVILLE UNION ELEMENTARY,-0.3937,40999.8,0.028,0.7213,117
BUTTONWILLOW UNION ELEMENTARY,-3.0179,36666.33,0.0169,0.0863,226.6667
BUTTS COUNTY,-0.7254,58799.12,0.3146,0.6198,1613.333
BYERS SCHOOL DISTRICT NO. 32J,0.6005,68624.42,0.0122,0.8532,231.8333
BYNG,-0.1274,48713.54,0.0207,0.4962,736.8333
BYRAM HILLS CENTRAL SCHOOL DISTRICT,2.5494,203896.1,0.0043,0.9265,1294
BYRAM TOWNSHIP,1.4119,127624.9,0.0158,0.9255,702.1667
BYRON AREA SCHOOLS,-0.1805,63868.16,0.0025,0.9591,571.6667
BYRON CENTER PUBLIC SCHOOLS,1.3134,74692.9,0.028,0.8625,1645.667
BYRON CUSD 226,1.456,79838.52,0.013,0.8933,716
BYRON PUBLIC SCHOOL DISTRICT,1.6919,85654.34,0.012,0.947,825
BYRON UNION ELEMENTARY,-0.5064,87499.5,0.0591,0.6654,1141.167
BYRON-BERGEN CENTRAL SCHOOL DISTRICT,0.6283,58679.13,0.0266,0.9142,481.6667
C A BEARD MEMORIAL SCHOOL CORP,0.1883,63157.68,0.0003,0.9784,618.5
C AND M COMM SCHOOL DISTRICT,0.0266,51999.8,0.0079,0.9659,202.1667
CABARRUS COUNTY SCHOOLS,0.4584,68909.66,0.1946,0.6262,13935.83
CABELL COUNTY SCHOOLS,-0.6124,44255.91,0.0848,0.8793,5461.167
CABOOL R-IV,-0.1131,32499.5,0.0069,0.9768,360.5
CABOT SCHOOL DISTRICT,0.4375,73999.07,0.0126,0.9507,87
CABOT SCHOOL DISTRICT,0.5022,60400.74,0.0196,0.9149,4730.167
CABRILLO UNIFIED,-0.4565,110095.8,0.0077,0.4442,1508
CACHE,-0.3231,67758.1,0.0853,0.6223,733
CACHE DISTRICT,1.3051,66530.81,0.0055,0.8851,7895.167
CADDO,-0.1442,61083.26,0,0.6123,212.6667
CADDO HILLS SCHOOL DISTRICT,-0.2616,45199.96,0.0056,0.8263,265.6667
CADDO MILLS ISD,0.7385,64908.76,0.019,0.8312,689.3333
CADDO PARISH,-1.2474,37433.02,0.646,0.3152,19271.33
CADILLAC AREA PUBLIC SCHOOLS,-0.1026,47777.23,0.0083,0.9362,1341
CADOTT COMMUNITY SCHOOL DISTRICT,0.2719,64772.41,0.0035,0.9668,381.1667
CAESAR RODNEY SCHOOL DISTRICT,0.7653,70974.88,0.2879,0.5992,3570
CAHOKIA CUSD 187,-1.6663,24327.09,0.8896,0.095,1952.833
CAIRO-DURHAM CENTRAL SCHOOL DISTRICT,-0.6032,44499.1,0.0287,0.8522,626.5
CAJON VALLEY UNION ELEMENTARY,-0.6385,50192.29,0.0661,0.4755,11436
CAL COMM SCHOOL DISTRICT,-1.0288,52999.7,0,0.6998,108.8333
CALAIS SCHOOL DISTRICT,1.6588,81785.45,0.0022,0.9262,67.5
CALALLEN ISD,0.7996,86855.2,0.0156,0.4229,1782.833
CALAMUS-WHEATLAND COMM SCHOOL DISTRICT,0.6267,65999.6,0.0074,0.9614,242.6667
CALAVERAS UNIFIED,-1.0253,70235.8,0.0143,0.7699,1691.667
CALCASIEU PARISH,-0.4687,53165.83,0.3547,0.6068,14701.5
CALDWELL,-0.1535,69749.35,0.0169,0.865,97
CALDWELL CO,0.3731,45624.88,0.0675,0.8978,883.1667
CALDWELL COUNTY SCHOOLS,0.3461,47749.45,0.0703,0.8193,5895.5
CALDWELL DISTRICT,-0.7203,33982.25,0.0066,0.4005,2668.167
CALDWELL EXEMPTED VILLAGE,0.1468,39276.92,0.0009,0.9929,377.1667
CALDWELL ISD,0.2128,59374.06,0.0937,0.5718,828.6667
CALDWELL PARISH,-1.0626,52272.5,0.1827,0.7908,740.8333
CALDWELL-WEST CALDWELL,1.5725,113376.7,0.0161,0.8645,1221.333
CALEDONIA COMMUNITY SCHOOLS,1.0381,80331.11,0.0229,0.8988,2350.833
CALEDONIA PUBLIC SCHOOL DISTRICT,0.6556,66199.59,0.0448,0.9412,272.1667
CALEDONIA-MUMFORD CENTRAL SCHOOL DISTRICT,0.3301,74332.38,0.0263,0.9278,421.3333
CALERA,-0.6564,47499.5,0.0079,0.5415,280.5
CALEXICO UNIFIED,-2.0754,38647.91,0.0004,0.0052,4198.167
CALHAN DISTRICT NO. RJ1,0.2901,52777.5,0.0093,0.8967,271.8333
CALHOUN,0.5034,30999.8,0.1203,0.776,999.1667
CALHOUN 01,-0.7372,42499.5,0.6483,0.306,770
CALHOUN CITY,0.1544,47499.5,0.0735,0.5749,1580.167
CALHOUN CO SCHOOL DIST,-0.8292,33749.25,0.347,0.5498,1130.333
CALHOUN COUNTY,-0.4001,46999.61,0.1361,0.824,4473
CALHOUN COUNTY,-0.9438,32499.5,0.7333,0.2243,430
CALHOUN COUNTY ISD,-0.1188,56388.25,0.0229,0.3183,1865.833
CALHOUN COUNTY SCHOOLS,-1.4058,40156.22,0.0034,0.9875,482.5
CALHOUN CUSD 40,0.5345,61499.9,0,0.9825,194.6667
CALICO ROCK SCHOOL DISTRICT,-0.0512,45624.88,0,0.9823,195.8333
CALIFON,1.2837,117499.3,0.0171,0.9751,90.5
CALIFORNIA AREA SD,0.1763,63705.63,0.0367,0.9412,446.3333
CALIPATRIA UNIFIED,-1.0612,37707.79,0.0277,0.0978,548.8333
CALISTOGA JOINT UNIFIED,-1.0538,89393.36,0.0032,0.171,362.1667
CALLAWAY PUBLIC SCHOOLS,-0.0389,62099.86,0.0018,0.9273,92.3333
CALLISBURG ISD,-0.0315,53555.2,0.0144,0.8718,531.6667
CALLOWAY CO,0.5441,55424.99,0.0164,0.9218,1408
CALUMET CITY SD 155,-2.0556,40908.91,0.6807,0.017,826.8333
CALUMET PUBLIC SD 132,-1.338,43294.8,0.7529,0.0064,734.8333
CALVERT COUNTY PUBLIC SCHOOLS,1.3684,103822.5,0.1485,0.7581,7425.167
CAMANCHE COMM SCHOOL DISTRICT,0.1402,74151.23,0.0118,0.9244,495.8333
CAMAS SCHOOL DISTRICT,1.814,91484.84,0.0112,0.8098,2813.333
CAMBRIA HEIGHTS SD,0.8878,49999,0.0046,0.9883,657.5
CAMBRIA-FRIESLAND SCHOOL DISTRICT,0.5984,68061.96,0.0027,0.8575,182.5
CAMBRIAN,0.8574,102358.4,0.0385,0.4955,2156.333
CAMBRIDGE,1.0257,53939,0.3793,0.3216,2761.333
CAMBRIDGE CENTRAL SCHOOL DISTRICT,0.6801,57635.6,0.0176,0.9609,418.5
CAMBRIDGE CITY,-0.1512,34599.08,0.0395,0.9086,1061.167
CAMBRIDGE CUSD 227,0.1596,58165.85,0.0015,0.9656,212.6667
CAMBRIDGE PUBLIC SCHOOLS,0.7199,59749.02,0.0043,0.9773,153.5
CAMBRIDGE SCHOOL DISTRICT,0.7564,71624.23,0.0166,0.9564,402
CAMBRIDGE SCHOOL DISTRICT,0.7453,59874.01,0.0143,0.9703,162
CAMBRIDGE-ISANTI PUBLIC SCHOOL DIST,0.7769,66592.97,0.0129,0.9184,2295.833
CAMDEN CENTRAL SCHOOL DISTRICT,0.1414,59776.8,0.0079,0.9749,1019.5
CAMDEN CITY,-2.4272,24528.31,0.4958,0.0058,6350.833
CAMDEN COUNTY,0.2771,57189.76,0.2298,0.637,4148.667
CAMDEN COUNTY SCHOOLS,0.8996,78124.88,0.1324,0.7987,904.5
CAMDEN FAIRVIEW SCHOOL DIST.,-1.201,35652.04,0.6084,0.3357,1082.5
CAMDEN-FRONTIER SCHOOLS,-1.0451,41666.33,0.005,0.9815,264.3333
CAMDENTON R-III,0.3111,49557.91,0.0126,0.9366,1880.667
CAMERON,-1.8337,50399.96,0.0011,0.6149,142.6667
CAMERON COUNTY SD,0.1688,52499.75,0.0136,0.9701,320.6667
CAMERON ISD,-0.3332,47916.08,0.175,0.3747,689.3333
CAMERON PARISH,-0.7684,64721.91,0.0209,0.9115,593.5
CAMERON R-I,-0.0446,54867.93,0.0114,0.9292,810.1667
CAMERON SCHOOL DISTRICT,0.0306,53133.02,0.0088,0.9478,428.1667
CAMINO UNION ELEMENTARY,0.2701,74999,0,0.7102,271.6667
CAMP HILL SD,1.2234,88234.77,0.0327,0.8815,562
CAMP VERDE UNIFIED DISTRICT,-1.0818,45636.24,0.0096,0.5802,812.8333
CAMPBELL CITY,-0.4147,41388.61,0.2829,0.4105,582.1667
CAMPBELL CO,0.8702,75393.69,0.0156,0.9425,2198.333
CAMPBELL CO PBLC SCHS,-0.1036,51614.42,0.1734,0.7702,3715.5
CAMPBELL COUNTY SCHOOL DISTRCT,-1.1785,39743.95,0.003,0.9867,2643.667
CAMPBELL COUNTY SCHOOL DISTRICT #1,0.3031,80952.14,0.0085,0.8824,3888
CAMPBELL R-II,0.1401,31499.7,0,0.9933,271.5
CAMPBELL UNION ELEMENTARY,0.0123,66799.55,0.0427,0.2621,4762.333
CAMPBELL-SAVONA CENTRAL SCHOOL DISTRICT,-0.4018,47291.21,0.0083,0.9751,391.3333
CAMPBELLSPORT SCHOOL DISTRICT,0.4205,69686.85,0.0074,0.9535,584.6667
CAMPBELLSVILLE IN,-0.2732,19249.15,0.1138,0.7601,528.1667
CANADIAN ISD,0.3771,70124.33,0.002,0.5788,388.8333
CANAJOHARIE CENTRAL SCHOOL DISTRICT,0.3821,61285.63,0.0114,0.9733,450.5
CANAL WINCHESTER LOCAL,0.6529,74801.64,0.1665,0.7231,1716
CANANDAIGUA CITY SCHOOL DISTRICT,0.8178,66776.66,0.0248,0.9205,1700
CANASERAGA CENTRAL SCHOOL DISTRICT,-0.4704,52199.78,0.0013,0.9749,119
CANASTOTA CENTRAL SCHOOL DISTRICT,-0.5556,59544.5,0.0186,0.9204,705.5
CANBY PUBLIC SCHOOL DISTRICT,0.796,64499.7,0.0099,0.9664,215.3333
CANBY SD 86,-0.1602,61593.64,0.0038,0.6749,2205
CANDIA SCHOOL DISTRICT,1.1856,107638.6,0.0023,0.9434,284
CANDLER COUNTY,-0.4579,36527.47,0.3021,0.517,906.8333
CANDOR CENTRAL SCHOOL DISTRICT,-0.7323,59799.02,0.0245,0.9242,362.6667
CANEY,-2.4721,42199.56,0.0034,0.4305,105.3333
CANEY VALLEY,0.8633,47749.45,0.004,0.7001,343.8333
CANEY VALLEY,-0.4115,43732.59,0.012,0.5311,301.1667
CANFIELD LOCAL,1.7212,94790.88,0.0103,0.9394,1391.5
CANISTEO-GREENWOOD CSD,-0.6955,53190.16,0.0112,0.9735,419.8333
CANISTOTA SCHOOL DISTRICT 43-1,0.4716,62999.8,0.0033,0.9344,102
CANNELTON CITY SCHOOLS,-0.6404,31999.6,0.0176,0.9399,106.1667
CANNON COUNTY SCHOOL DISTRICT,-1.1224,43402.1,0.0099,0.9508,987
CANNON FALLS PUBLIC SCHOOL DISTRICT,0.7623,84513.51,0.0102,0.9241,543.3333
CANON-MCMILLAN SD,1.5078,73054.69,0.0443,0.9152,2286.833
CANTERBURY SCHOOL DISTRICT,0.9972,86986.7,0.0153,0.9102,336
CANTON,2.3097,105356.9,0.0801,0.7741,1538.167
CANTON,-1.1592,36874.63,0.002,0.612,166.3333
CANTON AREA SD,-0.0764,45416.58,0.0074,0.9678,466
CANTON CENTRAL SCHOOL DISTRICT,0.542,71399.24,0.0142,0.9514,581.1667
CANTON CITY,-1.2159,28848.44,0.3532,0.4644,4477.667
CANTON ISD,0.8191,55780.67,0.022,0.855,942.6667
CANTON LOCAL,0.2011,53888.5,0.0735,0.87,955.5
CANTON PUBLIC SCHOOL DIST,-1.8416,29165.83,0.9641,0.0045,1425.333
CANTON R-V,0.0258,61999.87,0.0384,0.945,239.1667
CANTON SCHOOL DISTRICT,1.8551,105517,0.0336,0.893,818
CANTON SCHOOL DISTRICT 41-1,0.6422,65422.71,0.0047,0.9382,379.5
CANTON UNION SD 66,-0.0391,53213.96,0.0118,0.9512,1175.333
CANTON-GALVA,0.5843,71999.2,0.0042,0.9313,171.5
CANUTILLO ISD,-0.4138,37388.41,0.0082,0.0435,2611.333
CANYON CREEK ELEM,0.584,45624.88,0.0088,0.9193,131.5
CANYON ISD,0.7563,78816.64,0.0255,0.7516,4170.5
CANYONS DISTRICT,0.5968,81371,0.0114,0.825,14790.17
CAPAC COMMUNITY SCHOOL DISTRICT,-0.1305,59217.83,0.0059,0.8664,634.6667
CAPAY JOINT UNION ELEMENTARY,-0.3994,61124.93,0,0.6939,124.1667
CAPE ELIZABETH SCHOOL DEPARTMENT,2.1046,114452.5,0.0103,0.9332,804.5
CAPE FLATTERY SCHOOL DISTRICT,-0.355,45874.82,0,0.2435,208
CAPE GIRARDEAU 63,-0.0965,39458.57,0.3409,0.5818,1761.667
CAPE HENLOPEN SCHOOL DISTRICT,0.841,58499.15,0.1686,0.67,2172
CAPISTRANO UNIFIED,0.5899,110744.9,0.0128,0.6106,24820.83
CAPITAL SCHOOL DISTRICT,-0.5503,45249.95,0.5302,0.3515,3221.833
CARBON CLIFF-BARSTOW SD 36,-1.7329,21666.33,0.2156,0.5965,155.8333
CARBON COUNTY SCHOOL DISTRICT #1,-0.6595,63299.78,0.0065,0.6452,839.5
CARBON COUNTY SCHOOL DISTRICT #2,0.3484,55189.96,0.0084,0.9049,298.8333
CARBON DISTRICT,-0.2964,57199.28,0.0069,0.8581,1835.5
CARBONADO SCHOOL DISTRICT,0.3587,70799.28,0.0052,0.9161,127.1667
CARBONDALE AREA SD,0.332,40833.17,0.039,0.9009,812.6667
CARBONDALE ESD 95,-0.9145,35166.63,0.4678,0.3301,796
CARDIFF ELEMENTARY,1.3692,106547.4,0.0032,0.7669,418.3333
CARDINAL COMM SCHOOL DISTRICT,-0.4057,60714.24,0,0.9463,254.3333
CARDINAL LOCAL,0.524,64999.66,0.0012,0.9672,564.8333
CARDINGTON-LINCOLN LOCAL,-0.0762,63749.75,0.0016,0.9715,544.3333
CAREY EXEMPTED VILLAGE,0.1713,51249.88,0.0018,0.9219,362.8333
CARL JUNCTION R-I,0.4173,49885.39,0.0179,0.9144,1565.833
CARLE PLACE UNION FREE SCHOOL DISTRICT,1.4254,117707.6,0.0146,0.7903,649.5
CARLINVILLE CUSD 1,0.5858,74499.03,0.0129,0.9334,659.8333
CARLISLE,3.5292,197726.3,0.0061,0.8409,468
CARLISLE AREA SD,0.9572,68356.59,0.101,0.786,2214.667
CARLISLE CO,-0.3861,47249.55,0.0126,0.9592,356
CARLISLE COMM SCHOOL DISTRICT,0.5998,83263.55,0.0114,0.9076,876
CARLISLE ISD,-1.1023,39999,0.0246,0.4892,290.5
CARLISLE LOCAL,0.4942,62844.64,0.0074,0.9527,795
CARLISLE SCHOOL DISTRICT,-0.4041,37124.57,0.1163,0.8635,328.1667
CARLSBAD MUNICIPAL SCHOOLS,-0.683,51235.83,0.0205,0.4501,2844.333
