educationagencyname,averagetest,income50perc,percentblacks,percentwhites,totalenrollment
ALAMEDA CITY UNIFIED,0.4239,75557.3,0.117,0.3144,4498.167
ALAMO CITY SCHOOL DISTRICT,0.3919,34061.69,0.1267,0.7244,318.1667
ALAMO HEIGHTS ISD,1.083,105792.5,0.0165,0.5715,2169.667
ALAMOGORDO PUBLIC SCHOOLS,-0.0948,48982.25,0.0737,0.5183,2733.333
ALAMOSA SCHOOL DISTRICT NO. RE-11J,-0.2041,38570.71,0.0061,0.3364,963.1667
ALANSON PUBLIC SCHOOLS,-0.0057,45437.41,0.0058,0.8144,139.1667
ALASKA GATEWAY SCHOOL DISTRICT,-1.5431,36249.75,0.0144,0.3564,192
ALBA PUBLIC SCHOOLS,-0.8684,46249.75,0,0.9454,104
ALBA-GOLDEN ISD,-0.0629,55436.96,0.0043,0.8789,377.5
ALBANY CITY SCHOOL DISTRICT,-1.2251,33067.57,0.652,0.152,4820.667
ALBANY CITY UNIFIED,1.3303,83787.53,0.0538,0.4012,1721
ALBANY COUNTY SCHOOL DISTRICT #1,0.994,65968.99,0.0167,0.7559,1623.5
ALBANY ISD,0.8988,64499.7,0.0159,0.7975,209.1667
ALBANY PUBLIC SCHOOL DISTRICT,0.9374,70445.73,0.0076,0.9488,765.1667
ALBANY R-III,0.0188,46749.65,0.017,0.9602,195
ALBANY SCHOOL DISTRICT,0.0494,59570.47,0.0105,0.9401,162.5
ALBEMARLE CO PBLC SCHS,1.0436,81051.34,0.1222,0.713,5808.167
ALBERS SD 63,1.5928,72249.19,0.0043,0.9472,111.5
ALBERT GALLATIN AREA SD,-0.4487,33364.71,0.045,0.9358,1673.167
ALBERT LEA PUBLIC SCHOOL DISTRICT,0.3685,58332.5,0.0244,0.7607,1444.333
ALBERTVILLE CITY,-0.759,40624.88,0.0191,0.6183,1867.667
ALBIA COMM SCHOOL DISTRICT,0.1277,58076.12,0.0069,0.9375,508.6667
ALBION CENTRAL SCHOOL DISTRICT,0.1569,51799.82,0.104,0.7739,920
ALBION PUBLIC SCHOOLS,-1.3379,27936.91,0.5654,0.3203,368.1667
ALBUQUERQUE PUBLIC SCHOOLS,-0.8137,48886.45,0.0261,0.2367,44755.17
ALBURG SCHOOL DISTRICT,-0.4497,52833.05,0,0.9249,130.6667
ALBURNETT COMM SCHOOL DISTRICT,0.5943,93499.27,0.0099,0.9658,262.1667
ALCESTER-HUDSON SCHOOL DISTRICT 61-1,0.336,55499.45,0.005,0.9449,132.6667
ALCOA CITY SCHOOL DISTRICT,-0.069,41764.35,0.1948,0.7023,787.3333
ALCONA COMMUNITY SCHOOLS,-0.5268,44999,0.0057,0.9663,375.1667
ALCORN SCHOOL DIST,-0.4592,50227.25,0.0333,0.9441,1645.167
ALDEN CENTRAL SCHOOL DISTRICT,0.7994,67344.34,0.0122,0.9722,792
ALDEN HEBRON SD 19,0.1907,87499.5,0.0211,0.8123,198
ALDEN-CONGER PUBLIC SCHOOL DISTRICT,0.2187,68570.86,0.0008,0.9537,237.1667
ALDINE ISD,-0.4816,35288.61,0.269,0.0236,28693.17
ALEDO ISD,1.384,104115.7,0.0136,0.8606,2161
ALEUTIANS EAST BOROUGH SCHOOL DISTRICT,-0.7365,64499.7,0.0016,0.1337,109.3333
ALEX,-1.2182,46499.7,0.0092,0.8701,144.1667
ALEXANDER CENTRAL SCHOOL DISTRICT,0.5023,60964.22,0.0167,0.9606,389.5
ALEXANDER CITY,-0.2868,48381.68,0.3798,0.5804,1485.667
ALEXANDER COUNTY SCHOOLS,0.2964,51230.65,0.047,0.8419,2535.667
ALEXANDER LOCAL,0.1614,53636,0.0041,0.9719,759.1667
ALEXANDRIA CENTRAL SCHOOL DISTRICT,-0.0412,27793.56,0.0193,0.9495,278.3333
ALEXANDRIA CITY PBLC SCHS,-0.389,61438.86,0.3567,0.2512,5283.5
ALEXANDRIA COM SCHOOL CORP,0.3072,50526.26,0.0023,0.8867,714.5
ALEXANDRIA PUBLIC SCHOOL DISTRICT,1.3602,70056.15,0.0132,0.9558,1720
ALEXANDRIA TOWNSHIP,1.1175,180554.9,0.031,0.9088,390.8333
ALFRED-ALMOND CENTRAL SCHOOL DISTRICT,0.8614,86817.71,0.0067,0.9474,292
